label,id,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11,OVD_t1_sum,OVD_t1_mean,OVD_t1_max,OVD_t2_sum,OVD_t2_mean,OVD_t2_max,OVD_t3_sum,OVD_t3_mean,OVD_t3_max,OVD_sum_sum,OVD_sum_mean,OVD_sum_max,pay_normal_sum,pay_normal_mean,prod_limit_mean,prod_limit_max,new_balance_sum,new_balance_mean,highest_balance_max,ovd_to_normal_ratio,ovd_t1_proportion,ovd_t2_proportion,ovd_t3_proportion,ovd_severity,has_any_ovd,has_ovd_t2,has_ovd_t3,has_multiple_ovd_types,credit_utilization,max_utilization,balance_growth,payment_capacity,ovd_max_per_transaction,consistency_score,risk_score,ovd_frequency,normal_payment_frequency,ovd_sum_squared,ovd_sum_log,pay_normal_log,ovd_exponential_ratio,severe_ovd_high_util,ovd_low_payment,danger_score,ovd_category,utilization_category,ovd_x_fea_1,consistency_x_fea_1,ovd_x_fea_3,consistency_x_fea_3,ovd_x_fea_5,consistency_x_fea_5,ovd_x_fea_6,consistency_x_fea_6,ovd_x_fea_7,consistency_x_fea_7,ovd_x_fea_9,consistency_x_fea_9,ovd_per_payment,severe_ovd_ratio,payment_reliability
1,54982665,5,1245.5,3,77000.0,2,15,5,109,5,151300,244.94897430000003,0,0.0,0,2,0.5,2,26,6.5,26,11906,2976.5,11906,34,8.5,60500.0,60500.0,160449.6,40112.4,150500.0,340.1714285714286,0.0,0.0001679684219366759,0.002183589485176787,0.006886705299403712,1,1,1,0,0.6630039172906234,2.487562189054726,3.751863467070854,0.0005619741822449215,11906,0.0028547439126784214,225.53498969320464,2976.5,8.5,141752836,9.384881741451174,3.5553480614894135,22025.465794806718,17.23810184955621,340.1714285714286,2.342857142857143,4,2,59530,0.014273719563392108,35718,0.008564231738035263,23812,0.005709487825356843,178590,0.042821158690176324,59530,0.014273719563392108,59530,0.014273719563392108,0.9970689222008207,0.002183589485176787,0.002847332719202747
0,59004779,4,1277.0,1,113000.0,2,8,-1,100,3,341759,207.17384,2,0.13333333333333333,2,2,0.13333333333333333,2,0,0.0,0,195,13.0,195,174,11.6,69666.66666666667,129800.0,30607.2,2040.48,360500.0,1.1142857142857143,0.01020408163265306,0.01020408163265306,0.0,0.030612244897959183,1,1,0,0,0.029288766189958994,2.7773283718923585,176.58757372102593,0.002497571805189399,195,0.8285714285714285,0.03263605375452573,13.0,11.6,38025,5.278114659230517,5.1647859739235145,2.0473906939634254,0.0,1.1142857142857143,0.022857142857142857,4,1,780,3.314285714285714,195,0.8285714285714285,390,1.657142857142857,1560,6.628571428571428,-195,-0.8285714285714285,585,2.4857142857142858,0.527027027027027,0.0,0.4702702702702703
0,58990862,7,1298.0,1,110000.0,2,11,-1,101,5,72001,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,64,10.666666666666666,102300.0,102300.0,655072.8,109178.8,250500.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.067231014359586,2.4486564158708126,2.294380462319953,0.0006256048327973334,0,10.666666666666666,0.0,0.0,10.666666666666666,0,0.0,4.174387269895637,0.0,0.0,0.0,0.0,0,4,0,74.66666666666666,0,10.666666666666666,0,21.333333333333332,0,117.33333333333333,0,-10.666666666666666,0,53.33333333333333,0.0,0.0,0.9846153846153847
1,58995168,7,1335.5,1,151000.0,2,11,5,110,3,60084,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,92,23.0,92400.0,127600.0,16279.2,4069.8,160500.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.04404497786820489,1.257827133016199,39.42713962857423,0.0009956602201274878,0,23.0,0.0,0.0,23.0,0,0.0,4.532599493153256,0.0,0.0,0.0,0.0,0,1,0,161.0,0,23.0,0,46.0,0,253.0,0,115.0,0,69.0,0.0,0.0,0.989247311827957
0,54987320,7,0.0,2,59000.0,2,11,5,108,4,450081,197.4031408,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,193,21.444444444444443,154733.33333333334,247500.0,2343270.0,260363.33333333334,1500500.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.6826474624248442,6.062601767265587,5.763078148184659,0.0012472991342149878,0,21.444444444444443,0.0,0.0,21.444444444444443,0,0.0,5.267858159063328,0.0,0.0,0.0,0.0,0,4,0,150.1111111111111,0,42.888888888888886,0,42.888888888888886,0,235.88888888888886,0,107.22222222222221,0,85.77777777777777,0.0,0.0,0.9948453608247423
0,59005995,6,1217.0,3,56000.0,2,6,-1,100,3,60091,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,49,16.333333333333332,35200.0,42900.0,171298.8,57099.6,250500.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.6221016448396353,5.8390247313582435,4.386994182197736,0.001392005908923042,0,16.333333333333332,0.0,0.0,16.333333333333332,0,0.0,3.912023005428146,0.0,0.0,0.0,0.0,0,4,0,98.0,0,49.0,0,32.666666666666664,0,98.0,0,-16.333333333333332,0,49.0,0.0,0.0,0.98
1,59001917,4,1304.0,3,35000.0,2,8,9,85,5,60069,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,28,14.0,0.0,0.0,22764.0,11382.0,44028.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3.8678731441623473,0.0,0,14.0,0.0,0.0,14.0,0,0.0,3.367295829986474,0.0,0.0,0.0,0.0,0,0,0,56.0,0,42.0,0,28.0,0,112.0,0,126.0,0,70.0,0.0,0.0,0.9655172413793104
1,54984789,5,1256.0,3,78000.0,2,15,-1,111,3,60030,1.0,4,1.0,3,1,0.25,1,0,0.0,0,105,26.25,82,80,20.0,26033.333333333332,35200.0,92294.4,23073.6,73611.0,1.2962962962962963,0.03773584905660377,0.009433962264150943,0.0,0.05660377358490566,1,1,0,0,0.8862758152695799,2.0911621828925315,3.1901311398680803,0.003072865318873795,82,0.7339449541284404,1.1488760568309369,26.25,20.0,11025,4.663439094112067,4.394449154672439,2.6557318155640224,0.0,1.2962962962962963,0.024691358024691357,4,3,525,3.669724770642202,315,2.2018348623853212,210,1.4678899082568808,1575,11.009174311926607,-105,-0.7339449541284404,315,2.2018348623853212,0.5645161290322581,0.0,0.43010752688172044
0,58984557,5,1323.5,3,218000.0,2,15,5,112,4,151300,282.8427125,8,1.1428571428571428,8,0,0.0,0,24,3.4285714285714284,24,19370,2767.1428571428573,19370,82,11.714285714285714,94050.0,161700.0,1536541.2000000002,219505.88571428575,2500500.0,233.3734939759036,0.0004129884879458985,0.0,0.0012389654638376955,0.004129884879458985,1,0,1,0,2.3339027305853817,15.463726260196289,11.391442194914548,0.0008718673910963201,19370,0.004231821231356763,544.6710348366126,2767.1428571428573,11.714285714285714,375196900,9.871532381294577,4.418840607796598,22025.465794806718,56.01366553404916,233.3734939759036,0.8674698795180723,4,4,96850,0.021159106156783816,58110,0.012695463694070288,38740,0.008463642462713526,290550,0.06347731847035144,96850,0.021159106156783816,77480,0.016927284925427052,0.9957333059168252,0.0012389654638376955,0.004215288130365496
0,54990497,4,0.0,2,35000.0,2,8,5,101,3,60029,237.301496,30,0.625,12,10,0.20833333333333334,2,0,0.0,0,636,13.25,141,616,12.833333333333334,110000.0,116600.0,3255974.4,67832.8,750500.0,1.0307941653160453,0.04709576138147567,0.015698587127158554,0.0,0.07849293563579278,1,1,0,0,0.6166562122162526,6.4364799615783745,11.06380594924654,0.005599949091371897,141,0.9005847953216375,0.6356456255584062,13.25,12.833333333333334,404496,6.456769655572163,6.424869023905388,1.8032912275809148,0.0,1.0307941653160453,0.03241491085899514,4,2,2544,3.60233918128655,1272,1.801169590643275,1272,1.801169590643275,5088,7.2046783625731,3180,4.502923976608187,1908,2.7017543859649127,0.5075818036711891,0.0,0.49162011173184356
0,58996401,7,1314.5,1,483000.0,2,11,9,101,3,151300,282.8427125,2,0.08695652173913043,1,0,0.0,0,0,0.0,0,24,1.0434782608695652,23,460,20.0,88427.77777777778,205700.0,87602.40000000001,3808.8,7200500.0,0.052060737527114966,0.08,0.0,0.0,0.08,1,0,0,0,0.04307195118733344,35.004691275200415,1889.9942254186572,0.005201926471900173,23,9.787234042553191,0.002242357545544474,1.0434782608695652,20.0,576,3.2188758248682006,6.133398042996649,0.053439723894103563,0.0,0.05206073752711497,0.0,4,1,168,68.51063829787233,24,9.787234042553191,48,19.574468085106382,264,107.6595744680851,216,88.08510638297872,72,29.361702127659573,0.049484536082474224,0.0,0.9484536082474226
0,59001833,4,1250.0,3,95000.0,2,8,9,111,4,60047,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,42,14.0,57200.0,57200.0,31646.4,10548.800000000001,48829.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.18441635635740636,0.8536389223964616,4.62842897495687,0.000734252897676614,0,14.0,0.0,0.0,14.0,0,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,0,1,0,56.0,0,42.0,0,28.0,0,112.0,0,126.0,0,56.0,0.0,0.0,0.9767441860465116
0,58989327,7,1223.0,3,81000.0,2,11,5,114,4,151300,194.9358869,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,50,12.5,72490.0,124300.0,506568.0,126642.0,470500.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.7470030762439475,3.785166651917523,3.715167833990035,0.0006897407954090853,0,12.5,0.0,0.0,12.5,0,0.0,3.9318256327243257,0.0,0.0,0.0,0.0,0,4,0,87.5,0,37.5,0,25.0,0,137.5,0,62.5,0,50.0,0.0,0.0,0.9803921568627451
